date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:36	14167/14167	---M--	200	added ('OK')	image/png	etag:%225d89e14d-3757%22	https://getbootstrap.com/docs/4.3/assets/img/examples/sticky-footer-navbar.png	getbootstrap.com/docs/4.3/assets/img/examples/sticky-footer-navbar.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:37	77401/77401	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-12e59%22	https://getbootstrap.com/docs/4.3/utilities/flex/	getbootstrap.com/docs/4.3/utilities/flex/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:37	27164/27164	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-6a1c%22	https://getbootstrap.com/docs/4.3/utilities/float/	getbootstrap.com/docs/4.3/utilities/float/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:37	31944/31944	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-7cc8%22	https://getbootstrap.com/docs/4.3/utilities/display/	getbootstrap.com/docs/4.3/utilities/display/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:37	27431/27431	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-6b27%22	https://getbootstrap.com/docs/4.3/utilities/embed/	getbootstrap.com/docs/4.3/utilities/embed/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:38	9761/9761	---M--	200	added ('OK')	image/png	etag:%225d89e14d-2621%22	https://getbootstrap.com/docs/4.3/assets/img/examples/starter-template.png	getbootstrap.com/docs/4.3/assets/img/examples/starter-template.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:39	23706/23706	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-5c9a%22	https://getbootstrap.com/docs/4.3/utilities/image-replacement/	getbootstrap.com/docs/4.3/utilities/image-replacement/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:39	23331/23331	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-5b23%22	https://getbootstrap.com/docs/4.3/utilities/overflow/	getbootstrap.com/docs/4.3/utilities/overflow/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:39	23269/23269	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-5ae5%22	https://getbootstrap.com/docs/4.3/utilities/screen-readers/	getbootstrap.com/docs/4.3/utilities/screen-readers/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:39	25380/25380	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-6324%22	https://getbootstrap.com/docs/4.3/utilities/position/	getbootstrap.com/docs/4.3/utilities/position/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:40	37960/37960	---M--	200	added ('OK')	image/png	etag:%225d89e14d-9448%22	https://getbootstrap.com/docs/4.3/assets/img/examples/grid.png	getbootstrap.com/docs/4.3/assets/img/examples/grid.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:41	31403/31403	---M--	200	added ('OK')	image/png	etag:%225d89e14d-7aab%22	https://getbootstrap.com/docs/4.3/assets/img/examples/jumbotron.png	getbootstrap.com/docs/4.3/assets/img/examples/jumbotron.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:42	24748/24748	---M--	200	added ('OK')	image/png	etag:%225d89e14d-60ac%22	https://getbootstrap.com/docs/4.3/assets/img/examples/navbars.png	getbootstrap.com/docs/4.3/assets/img/examples/navbars.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:43	12523/12523	---M--	200	added ('OK')	image/png	etag:%225d89e14d-30eb%22	https://getbootstrap.com/docs/4.3/assets/img/examples/navbar-static.png	getbootstrap.com/docs/4.3/assets/img/examples/navbar-static.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:44	23537/23537	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-5bf1%22	https://getbootstrap.com/docs/4.3/utilities/shadows/	getbootstrap.com/docs/4.3/utilities/shadows/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:44	29628/29628	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-73bc%22	https://getbootstrap.com/docs/4.3/utilities/sizing/	getbootstrap.com/docs/4.3/utilities/sizing/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:44	35178/35178	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-896a%22	https://getbootstrap.com/docs/4.3/utilities/stretched-link/	getbootstrap.com/docs/4.3/utilities/stretched-link/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:44	32812/32812	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-802c%22	https://getbootstrap.com/docs/4.3/utilities/spacing/	getbootstrap.com/docs/4.3/utilities/spacing/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:45	11569/11569	---M--	200	added ('OK')	image/png	etag:%225d89e14d-2d31%22	https://getbootstrap.com/docs/4.3/assets/img/examples/navbar-fixed.png	getbootstrap.com/docs/4.3/assets/img/examples/navbar-fixed.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:46	34698/34698	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-878a%22	https://getbootstrap.com/docs/4.3/utilities/text/	getbootstrap.com/docs/4.3/utilities/text/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:46	31199/31199	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-79df%22	https://getbootstrap.com/docs/4.3/extend/approach/	getbootstrap.com/docs/4.3/extend/approach/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
